video_id,title,published_at,view_count,like_count,comment_count,tags,category_id,duration
gyrTsXRbWEo,THE TECH SWARM -  The Binding Of Isaac: Repentance Ep. 528,2022-10-28,73587,4275,144,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,THE TECH SWARM - The Binding Of Isaac: Repentance Ep. 528,sinvicta,sinvicta isaac",20,PT57M24S
opaKmUEZd3Q,ANOTHER OP COMBO?! -  The Binding Of Isaac: Repentance Ep. 527,2022-10-27,52924,3149,128,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,ANOTHER OP COMBO?! - The Binding Of Isaac: Repentance Ep. 527,sinvicta,sinvicta isaac",20,PT50M25S
n-noFTH06Mw,I Replaced ALL ITEMS With ONLY 7 SEALS!  -  The Binding Of Isaac: Repentance Ep. 526,2022-10-26,44289,3501,190,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,I Replaced ALL ITEMS With ONLY 7 SEALS! - The Binding Of Isaac: Repentance Ep. 526,sinvicta,sinvicta isaac",20,PT37M7S
E7nlevh8zhg,AN UNLIKELY DUO! -  The Binding Of Isaac: Repentance Ep. 525,2022-10-25,32145,2425,86,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,AN UNLIKELY DUO! - The Binding Of Isaac: Repentance Ep. 525,sinvicta,sinvicta isaac",20,PT38M15S
pVnWyM3fEMo,Guppy FINALLY Returns!-  The Binding Of Isaac: Repentance Ep. 524,2022-10-24,52673,3585,145,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,Guppy FINALLY Returns!- The Binding Of Isaac: Repentance Ep. 524,sinvicta,sinvicta isaac",20,PT50M24S
ehY9pPChxAg,TAINTED RANDOM RUNDAY Ep. 39! - The Binding Of Isaac: Repentance,2022-10-23,35700,2662,100,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,the binding of isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,TAINTED RANDOM RUNDAY Ep. 39! - The Binding Of Isaac: Repentance",20,PT32M41S
UUwd07L5CF0,NEWEST BROKEN OP COMBO IN ISAAC!  -  The Binding Of Isaac: Repentance #523,2022-10-22,81102,5775,148,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,NEWEST BROKEN OP COMBO IN ISAAC! - The Binding Of Isaac: Repentance #523,sinvicta,sinvicta isaac",20,PT47M45S
REckaooQ-hY,A WHOLE PACK OF BABIES  -  The Binding Of Isaac: Repentance #522,2022-10-21,53538,3291,156,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,A WHOLE PACK OF BABIES - The Binding Of Isaac: Repentance #522,sinvicta,sinvicta isaac",20,PT52M17S
kHV8IwbbPYc,MAWLICIOUS  -  The Binding Of Isaac: Repentance #521,2022-10-20,39946,3183,125,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,MAWLICIOUS - The Binding Of Isaac: Repentance #521,sinvicta,sinvicta isaac",20,PT53M46S
gzstnttsZJ4,I made EVERY ITEM Experimental Treatment!  -  The Binding Of Isaac: Repentance #520,2022-10-19,57990,3998,150,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,SULFUR,I made EVERY ITEM Experimental Treatment! - The Binding Of Isaac: Repentance #520,sinvicta,sinvicta isaac",20,PT43M6S
